OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109693-9000077C,Sample-Routine,Water,,1990-01-10,14:35:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4993040,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108896-9000149C,Sample-Routine,Water,,1990-01-10,18:15:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4950730,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108821-9000141C,Sample-Routine,Water,,1990-01-10,13:45:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4949700,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930829,Sample-Routine,Water,,1990-01-10,13:30:00,CST,,,,0,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-623243,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930494,Sample-Routine,Water,,1990-01-09,11:40:00,CST,,,,0,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-103106,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930669,Sample-Routine,Water,,1990-01-09,15:20:00,CST,,,,0,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-093028,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108651-9000053C,Sample-Routine,Water,,1990-01-09,12:00:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4946960,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108814-9000140C,Sample-Routine,Water,,1990-01-10,13:00:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4949650,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109593-9000042C,Sample-Routine,Water,,1990-01-09,11:50:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4992320,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),,Lead,Acid Soluble,10,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930737,Sample-Routine,Water,,1990-01-10,10:30:00,CST,,,,,,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-313038,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109464-9000037C,Sample-Routine,Water,,1990-01-09,10:20:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4991250,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),,Lead,Acid Soluble,5,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-COSW_JP_CON_19900103_172228,Sample-Composite Without Parents,Water,,1990-01-03,12:00:00,EST,1990-01-04,12:00:00,EST,,,,,,,,CONG0002,,11NPSWRD_WQX-CONG_JP_CON,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,Miscellaneous (Other),,Lead,Total,2,ug/l,,Final,Mean,Actual,,,,,,"Old STORET Parameter Code: 01051][Description: LEAD, TOTAL (UG/L AS PB)][Value: 2][Statistical Code: A - Average][Space/Time/Both Code: T][Method or Grab Count: 06][Media: WATER",,,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,,,1990-01-03,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-5215.CHEM,Sample-Routine,Water,Surface Water,1990-01-09,12:00:00,MST,,,,,,,,,,,7988,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-133,Approved status:  24-APR-02 12:00:00--- SAMPLE TAKEN: Migrated,,,,Unknown,AZDEQ_SW,Unknown,Miscellaneous (Other),Not Detected,Lead,Total,,,,Final,,Estimated,,,,,,,,,,,,,UNKNOWN,AZDEQ_SW,UNKNOWN,,ARIZONA STATE LAB,,,Laboratory Reporting Level,10,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109571-9000039C,Sample-Routine,Water,,1990-01-09,10:00:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4991860,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),,Lead,Acid Soluble,15,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109600-9000043C,Sample-Routine,Water,,1990-01-09,13:10:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4992390,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109437-9000036C,Sample-Routine,Water,,1990-01-09,10:40:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4991200,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),,Lead,Acid Soluble,10,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108947-9000155C,Sample-Routine,Water,,1990-01-10,15:30:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4951750,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-COSW_JP_CON_19900105_172232,Sample-Composite Without Parents,Water,,1990-01-05,12:00:00,EST,1990-01-06,12:00:00,EST,,,,,,,,CONG0002,,11NPSWRD_WQX-CONG_JP_CON,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,Miscellaneous (Other),,Lead,Total,2,ug/l,,Final,Mean,Actual,,,,,,"Old STORET Parameter Code: 01051][Description: LEAD, TOTAL (UG/L AS PB)][Value: 2][Statistical Code: A - Average][Space/Time/Both Code: T][Method or Grab Count: 07][Media: WATER",,,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,,,1990-01-05,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109724-9000080C,Sample-Routine,Water,,1990-01-10,14:10:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4993630,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930464,Sample-Routine,Water,,1990-01-09,,,,,,0,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-273020,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109659-9000075C,Sample-Routine,Water,,1990-01-10,09:15:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4992890,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),,Lead,Acid Soluble,10,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-COSW_JP_CON_19900107_172236,Sample-Composite Without Parents,Water,,1990-01-07,12:00:00,EST,1990-01-09,12:00:00,EST,,,,,,,,CONG0002,,11NPSWRD_WQX-CONG_JP_CON,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,Miscellaneous (Other),,Lead,Total,5,ug/l,,Final,Mean,Actual,,,,,,"Old STORET Parameter Code: 01051][Description: LEAD, TOTAL (UG/L AS PB)][Value: 5][Statistical Code: A - Average][Space/Time/Both Code: T][Method or Grab Count: 11][Media: WATER",,,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,,,1990-01-07,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930711,Sample-Routine,Water,,1990-01-10,11:45:00,CST,,,,,,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-363070,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109710-9000078C,Sample-Routine,Water,,1990-01-10,10:10:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4993470,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),,Lead,Acid Soluble,10,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109851-9000030C,Sample-Routine,Water,,1990-01-09,11:30:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4994740,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930382,Sample-Routine,Water,,1990-01-09,10:16:00,CST,,,,,,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-383001,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109643-9000033C,Sample-Routine,Water,,1990-01-09,12:30:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4992640,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930435,Sample-Routine,Water,,1990-01-09,09:30:00,CST,,,,0,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-273021,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109765-9000082C,Sample-Routine,Water,,1990-01-10,11:10:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4994170,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930915,Sample-Routine,Water,,1990-01-10,10:40:00,CST,,,,0,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-323092,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-5170.CHEM,Sample-Routine,Water,Surface Water,1990-01-09,09:30:00,MST,,,,,,,,,,,7988,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-964,Approved status:  24-APR-02 12:00:00--- SAMPLE TAKEN: Migrated,,,,Unknown,AZDEQ_SW,Unknown,Miscellaneous (Other),Not Detected,Lead,Total,,,,Final,,Estimated,,,,,,,,,,,,,UNKNOWN,AZDEQ_SW,UNKNOWN,,ARIZONA STATE LAB,,,Laboratory Reporting Level,10,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109732-9000035C,Sample-Routine,Water,,1990-01-09,14:15:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4993660,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109700-9000034C,Sample-Routine,Water,,1990-01-09,13:30:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4993100,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-COSW_MR_TC_19900106_176925,Sample-Routine,Water,,1990-01-06,,,,,,,,,,,,,CONG0003,,11NPSWRD_WQX-CONG_MR_TC,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,Miscellaneous (Other),Present Below Quantification Limit,Lead,Dissolved,,mg/l,,Final,,Actual,,,,,,"Old STORET Parameter Code: 01049][Description: LEAD, DISSOLVED (MG/L AS PB)][Value: 0.04][Remark: K - Off-scale low.  Actual value not known, but known to be less than value shown][Note: Parameter description units (UG/L) changed to MG/L to reflect the data as it was actually entered",,,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,,,1990-01-06,,Lower Quantitation Limit,.05,mg/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108909-9000151C,Sample-Routine,Water,,1990-01-10,17:45:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4950850,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108594-9000127C,Sample-Routine,Water,,1990-01-09,13:00:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4942550,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7929767,Sample-Routine,Water,,1990-01-03,12:50:00,CST,,,,1,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-543017,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108732-9000136C,Sample-Routine,Water,,1990-01-09,15:45:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4948950,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-COSW_JP_CON_19900110_172239,Sample-Composite Without Parents,Water,,1990-01-10,12:00:00,EST,1990-01-11,12:00:00,EST,,,,,,,,CONG0002,,11NPSWRD_WQX-CONG_JP_CON,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,Miscellaneous (Other),,Lead,Total,3,ug/l,,Final,Mean,Actual,,,,,,"Old STORET Parameter Code: 01051][Description: LEAD, TOTAL (UG/L AS PB)][Value: 3][Statistical Code: A - Average][Space/Time/Both Code: T][Method or Grab Count: 06][Media: WATER",,,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,,,1990-01-10,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930354,Sample-Routine,Water,,1990-01-09,09:01:00,CST,,,,,,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-433002,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108789-9000138C,Sample-Routine,Water,,1990-01-09,17:30:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4949420,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-COSW_JP_WAT_19900107_176224,Sample-Composite Without Parents,Water,,1990-01-07,12:00:00,EST,1990-01-09,12:00:00,EST,,,,,,,,CONG0002,,11NPSWRD_WQX-CONG_JP_WAT,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,Miscellaneous (Other),,Lead,Total,14,ug/l,,Final,Mean,Actual,,,,,,"Old STORET Parameter Code: 01051][Description: LEAD, TOTAL (UG/L AS PB)][Value: 14][Statistical Code: A - Average][Space/Time/Both Code: T][Method or Grab Count: 11][Media: WATER",,,,,,,NPS_LEGACY,11NPSWRD_WQX,LEGACY,,,1990-01-07,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108916-9000152C,Sample-Routine,Water,,1990-01-10,17:15:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4950950,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108690-9000055C,Sample-Routine,Water,,1990-01-09,14:10:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4947300,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-7930549,Sample-Routine,Water,,1990-01-09,12:45:00,CST,,,,0,ft,,,,,,WR046,WIDNR_WQX,WIDNR_WQX-103108,,,,,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Bucket,,Lead,Total,<3,ug/l,,Final,,Actual,,,,,,,,,,,,,3113-B,APHA,3113 B ~ Metals in Water by GFAA,https://www.nemi.gov/methods/method_summary/4698/,113133790,,,,,,,STORET
